Produit;valeur energetique KJ);quantité d’acides gras satures (g);quantite de sucres (g);quantite de Sodium (mg/g);quantite de proteines (g);quantite de Fibres (g);teneur en Fruits/Legumes/Fruits a coques;Score issue de nutri Score;label nutri Score;Green label;green score;Bio or no;Nombre d'aditif;URL
PAIN MIE SANDWICH BIO* COMPLET Sans sucres ajoutés 500G – Bien – 500 g;1060;0.5;1.9;3.96;10.0;6.9;0.0;-1.0;a;a;90.0;Oui;1;https://world.openfoodfacts.org/product/3760049794373/pain-mie-sandwich-bio-complet-sans-sucres-ajoutes-500g-bien
Chips sea salt & cider vinegar – Tyrrels – 150g;2042;3.0;0.6;8.0;5.2;3.3;0.3;16.0;d;a;90.0;Non;1;https://world.openfoodfacts.org/product/10600425/chips-sea-salt-cider-vinegar-tyrrels
HERTA Pâte à Pizza Fine et Rectangulaire 390g – Herta – 390 g;1214;0.5;2.9;5.972;8.7;1.0;11.684;7.0;c;b;74.0;Non;0;https://world.openfoodfacts.org/product/7613035648463/herta-pate-a-pizza-fine-et-rectangulaire-390g
Pain complet seigle – Bjorg – 500 g;835;0.2;4.0;4.4;4.6;10.0;0.0;2.0;b;a;102.0;Oui;0;https://world.openfoodfacts.org/product/3229820019208/pain-complet-seigle-bjorg
Gerblé cacao céréales – Gerblé – 160 g;1902;2.2;13.0;0.68;10.0;6.1;12.0;3.0;c;b;65.0;Non;2;https://world.openfoodfacts.org/product/3175681261372/gerble-cacao-cereals-cookie-160g-5-7oz
Pain de mie grandes tranches complet – Marque Repère, Epi d'Or, Scamark (Filiale E. Leclerc) – 550 g;1075;0.8;6.2;4.4;9.3;7.4;1.41826923076923;2.0;b;b;70.0;Non;4;https://world.openfoodfacts.org/product/3564700596968/pain-de-mie-grandes-tranches-complet-marque-repere
HERTA TARTE EN OR Pâte Brisée 230g – Tarte en or, Herta – 230 g;1622;9.2;2.0;4.0;5.8;2.3;9.91666666666666;17.0;d;c;45.0;Non;0;https://world.openfoodfacts.org/product/3154230600121/herta-tarte-en-or-pate-brisee-230g
Rice Krispies – Kellogg's – 360g;1649;0.4;7.9;4.0;7.0;2.9;0.0;8.0;c;e;29.0;Non;0;https://world.openfoodfacts.org/product/5059319023533/rice-krispies-kellogg-s
Céréales Extra Kellogg's Pépites Chocolat au lait – Kellogg's – 500 g;2026;12.0;25.0;2.72;7.0;4.9;0.375;24.0;e;d;30.0;Non;1;https://world.openfoodfacts.org/product/5050083516313/cereales-extra-kellogg-s-pepites-chocolat-au-lait
Granola baja en azúcares – Hacendado – 400 g;1993;3.5;4.7;0.08;13.6;8.5;7.0;-1.0;a;b;62.0;Non;0;https://world.openfoodfacts.org/product/8480000094742/granola-hacendado
La Chips de Sarrasin au Sel de Guérande – Brets – 120 g e;2359;3.1;0.6;4.4;8.9;4.6;0.0;0.0;b;a;89.0;Non;0;https://world.openfoodfacts.org/product/3497917002451/chips-de-sarrasin-au-sel-de-guerande-brets
100% mie – Harrys – 500 g;1122;0.4;7.7;4.4;7.0;4.0;4.40000000000003;7.0;c;a;88.0;Non;0;https://world.openfoodfacts.org/product/3228857000869/100-mie-harrys
Céréales Trésor Kellogg's Chocolat Noisettes - 1kg – Kellogg's – 1000 g;1838;3.5;26.0;4.4;7.0;3.5;2.58333333333333;19.0;e;e;20.0;Non;5;https://world.openfoodfacts.org/product/5050083535079/cereales-tresor-kellogg-s-chocolat-noisettes-1kg
Pomme de terre nature – Lay's, Lays – 155 g;2250;3.7;0.5;4.4;6.2;3.9;5.62083333333333;13.0;d;b;73.0;Non;0;https://world.openfoodfacts.org/product/3168930167983/pomme-de-terre-nature-lay-s
Crunchy Avoine & Fruits Rouge 5 x 42 g – Nature Valley – 210 g;1900;2.62;30.2;2.67;7.38;6.19;11.2727272727273;15.0;d;c;59.0;Non;2;https://world.openfoodfacts.org/product/8410076600448/oats-berries-nature-valley
Muesli – Bjorg – 750g;1485;0.9;14.0;0.12;11.0;10.0;29.4375;-2.0;a;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3229820797946/muesli-bjorg
Chips nature – Lay's, Lays – 135 g;2121;3.2;0.5;4.4;6.1;4.3;5.7875;12.0;d;b;73.0;Non;0;https://world.openfoodfacts.org/product/3168930171737/chips-nature-lay-s
Krisprolls – Pagen – 240g;1678;2.1;7.0;6.29;12.0;7.7;3.5;11.0;d;a;95.0;Non;0;https://world.openfoodfacts.org/product/7311070032581/krisprolls-complets-pagen
Bebida de Avena Calcio y Vitaminas – Hacendado;219;2.0;3.6;0.4599999999999999;0.5;0.56;0.0;8.0;d;c;52.0;Non;2;https://world.openfoodfacts.org/product/8480000861672/bebida-de-avena-calcio-y-vitaminas-hacendado
Flocons d'avoine complets – Terres & Céréales BIO – 500 g;1564;1.3;0.9;0.04;12.0;10.0;0.0;-4.0;a;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3421557910203/flocons-d-avoine-complets-terres-cereales-bio
Pain grillé – Brioche Pasquier – 20 tr.;1698;0.7;3.3;5.2;11.0;5.8;0.0;8.0;c;a;77.0;Non;0;https://world.openfoodfacts.org/product/3182180002474/pain-grille-brioche-pasquier
Pâte brisée – Norma – 230g;148;0.1;4.5;4.72;1.2;1.4;5.94714285714286;6.0;c;c;57.0;Non;3;https://world.openfoodfacts.org/product/20004361/cornichons-norma
Golden grahams,Nestlé – 375 g;1599;0.4;24.5;3.88;6.9;6.5;0.0;11.0;d;d;30.0;Non;1;https://world.openfoodfacts.org/product/3387390339505/golden-crahams-golden-grahams
Pan de Molde 100% Integral – Hacendado – 460 g;1003;0.7;2.9;4.0;11.0;7.4;0.0;-2.0;a;b;74.0;Non;6;https://world.openfoodfacts.org/product/8480000823281/100-integral-hacendado
Heudebert Blé complet – Heudebert – 280 g;1636;1.9;7.4;5.72;14.0;6.5;0.0;10.0;c;a;79.0;Non;1;https://world.openfoodfacts.org/product/7622210941480/heudebert-ble-complet
Maxi tranches complet – Carrefour, Carrefour-classic – 550 g;1125;0.5;4.8;4.4;9.2;5.8;9.725;3.0;c;a;79.0;Non;1;https://world.openfoodfacts.org/product/3560071472719/classic-maxi-tranches-complet-carrefour
Crunchy Nut – Kellogg's – 500 g;1680;0.667;36.7;3.07;6.0;2.67;6.0;18.0;d;d;31.0;Non;0;https://world.openfoodfacts.org/product/5000127049307/crunchy-nut-kellogg-s
Smacks – Kellogg's, Smacks – 400 g;1597;0.3;34.0;0.08;7.1;5.0;0.0;11.0;d;e;29.0;Non;0;https://world.openfoodfacts.org/product/5053827101424/smacks-kellogg-s
Harrys brioche tranchee pepites de chocolat sans additif 485g – Harry's – 485 g;1500;2.7;17.0;2.6;7.5;5.2;8.50048828125;11.0;d;b;61.0;Oui;0;https://world.openfoodfacts.org/product/3228857001347/harrys-brioche-tranchee-pepites-de-chocolat-sans-additif-485g-harry-s
Muesli croustillant duo pépites – Terres et céréales bio – 100;1823;3.8;25.0;0.2;9.2;7.6;0.125558035714292;10.0;c;a;86.0;Oui;0;https://world.openfoodfacts.org/product/3421557501975/muesli-croustillant-duo-pepites-terres-et-cereales-bio
White Pitta Bread – Tesco;1063;0.1;2.4;2.3200000000000003;9.4;3.8;0.0;1.0;b;a;75.0;Non;1;https://world.openfoodfacts.org/product/5000119082985/white-pittas-tesco
Pâtes linguine collezione 500g – Barilla – 500 g;1521;0.5;3.5;0.04;13.0;3.0;0.0;0.0;a;b;73.0;Non;0;https://world.openfoodfacts.org/product/8076809523509/collezione-linguine-barilla
Céréales trésor - chocolat au lait – Kellogs – 410g;1854;4.7;25.0;3.84;7.0;3.7;2.63541666666667;19.0;e;e;20.0;Non;6;https://world.openfoodfacts.org/product/5053827199667/kelloggs-tresor-kellogs
Nestle Shreddies – Nestlé – 1. 1kg;1540;0.3;12.5;2.88;10.8;12.0;0.0;1.0;b;e;25.0;Non;0;https://world.openfoodfacts.org/product/8445290384874/shreddies-nestle
Golden Wheat Swedish Krisprolls, 7.9oz (225g) – Pagen – 240 g;1808;1.3;9.5;2.64;10.0;3.1;2.0;10.0;c;a;77.0;Non;0;https://world.openfoodfacts.org/product/7311070032574/krisprolls-dores-pagen
Muesli Crunchy – Crownfield, Lidl – 500gr;1867;3.0;16.0;0.00052;8.9;9.8;1.5;6.0;c;b;67.0;Non;3;https://world.openfoodfacts.org/product/4056489687337/ganola-crownfield
Duo Fourré Goût Chocolat 🍫 Noisette 🥜 – Belvita – 5x2 biscuits / 5×50,6 g = 253g;1880;5.14;27.7;2.06;7.51;5.53;0.0;17.0;d;d;44.0;Non;5;https://world.openfoodfacts.org/product/3017760656092/duo-fourre-gout-chocolat-%F0%9F%8D%AB-noisette-%F0%9F%A5%9C-belvita
Le Ravioli pur boeuf – Panzani – 800 g;384;0.8;1.4;3.0;3.8;1.6;8.65384615384616;3.0;c;b;68.0;Non;1;https://world.openfoodfacts.org/product/3038352880305/le-ravioli-pur-boeuf-panzani
Diet nature galletas de desayuno con cereales – Gullón – 216 g;1719;1.3;1.4;2.6;6.8;9.8;0.0;2.0;b;c;54.0;Non;4;https://world.openfoodfacts.org/product/8410376042498/zero-breakfast-cereal-imp-gullon
Gran Cereale classico – Barilla, Gran Cereale, Mulino Bianco – 500g;1930;1.8;17.0;2.8000000000000003;8.3;8.0;0.0312026515151516;8.0;c;c;55.0;Non;2;https://world.openfoodfacts.org/product/8076809582209/classico-barilla
Ravioli au tofu, tomates, basilic – Céréal Bio – 267 g;465;0.4;2.9;2.96;3.8;3.8;29.26625;2.0;b;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3175681170841/ravioli-au-tofu-tomates-basilic-cereal-bio
Cruesli Chocolat noir maxi format – QUAKER – 900 g;1906;4.9;16.0;1.92;8.1;10.0;0.95;10.0;c;b;66.0;Non;3;https://world.openfoodfacts.org/product/3168930010869/quaker-cruesli-chocolat-900g
Gran Cereale Cioccolato – Gran Cereale – 230 g;1913;3.6;29.0;1.26;9.0;9.0;2.5;12.0;d;d;37.0;Non;2;https://world.openfoodfacts.org/product/8076809522533/cioccolato-fondente-e-nocciole-gran-cereale
Froot Loops – Kellogg's – 375 g;1630;0.9;25.0;4.5200000000000005;8.3;4.3;0.0;14.0;d;e;29.0;Non;0;https://world.openfoodfacts.org/product/5053827110679/froot-loops-kellogg-s
CHEERIOS BIO Céréale 375g – Nestlé, Cheerios – 375 g;1638;0.9;18.0;2.6;9.1;9.9;0.0;7.0;c;c;58.0;Oui;1;https://world.openfoodfacts.org/product/7613036669498/les-galettes-de-pont-aven-nestle
6 pains suedois 180g – La Boulangère – 180 g;1216;0.3;11.0;3.84;8.9;5.4;0.405681818181819;4.0;c;a;77.0;Non;2;https://world.openfoodfacts.org/product/3760049791266/6-pains-suedois-180g-la-boulangere
Cuisiné cappelletti – Céréal BIO – 220 g;415;0.5;3.2;2.24;3.7;3.2;45.0;0.0;a;b;70.0;Oui;1;https://world.openfoodfacts.org/product/3175681061460/cappelletti-tofu-chevre-cereal-bio
NESTLE NESQUIK Céréales 450g – Nestlé, Nesquik – 450 g;1595;1.1;22.4;0.8799999999999999;8.5;8.6;0.0;7.0;c;d;31.0;Non;0;https://world.openfoodfacts.org/product/7613035144699/nestle-nesquik-cereales-450g
Galettes riz chocolat noir – Bjorg – 90 g;2047;13.3333333333333;26.6666666666667;0.0;6.22222222222222;5.33333333333333;0.0;20.0;e;a;78.0;Oui;0;https://world.openfoodfacts.org/product/3229820803449/galettes-riz-chocolat-noir-bjorg
Prince petit dej – Lu – 300 g;1969;8.1;28.0;2.2;7.1;3.7;5.425;22.0;e;c;54.0;Non;5;https://world.openfoodfacts.org/product/3017760306492/prince-petit-dej-lu
Maïs SSA 1/2 – Bonduelle – 285 g;334;0.5;5.2;1.6;2.9;3.8;100.0;-2.0;b;a;86.0;Non;0;https://world.openfoodfacts.org/product/3083680025881/mais-ssa-1-2-bonduelle
Grany moelleux, fruit des bois – Lu, Mondelez – 192 g ℮, 6 biscuits en sachet individuel;1680;8.5;35.0;4.8;6.0;3.7;19.8704918032787;27.0;e;c;47.0;Non;11;https://world.openfoodfacts.org/product/5410041161700/grany-moelleux-fruit-des-bois-lu
Wraps au blé nature – Mission – 370 g;1325;0.8;1.1;3.92;8.0;4.3;0.0;2.0;b;b;73.0;Non;4;https://world.openfoodfacts.org/product/8710637105352/wraps-mission
Cereal Mix – Hacendado – 375 g;1576;0.7;17.1;0.0;9.4;5.6;0.0;3.0;c;e;25.0;Non;1;https://world.openfoodfacts.org/product/8480000095329/cereal-mix-hacendado
Ravioli pur bœuf  sans colorant ni conservateur – Panzani – 400 g;384;0.8;1.6;3.6;3.8;0.8;17.1875;4.0;c;b;61.0;Non;1;https://world.openfoodfacts.org/product/3038352880206/ravioli-pur-boeuf-sans-colorant-ni-conservateur-panzani
Pain de mie sans croute complet 330g – WW, Weight Watchers – 330 g;911;0.2;2.4;4.0;8.9;5.9;0.9;0.0;a;a;75.0;Non;1;https://world.openfoodfacts.org/product/3760049795059/pain-de-mie-sans-croute-complet-330g-ww
Organic Milk Chocolate Rice Cakes – Kallo – 90g;2072;14.0;27.0;0.0;7.0;3.5;0.0;22.0;e;d;44.0;Oui;0;https://world.openfoodfacts.org/product/5013665103455/milk-chocolate-rice-cakes-imp-kallo
Spaghetti n12 – De Cecco – 500 g;1490;0.3;3.4;0.0;14.0;2.9;0.0;-1.0;a;b;67.0;Non;0;https://world.openfoodfacts.org/product/8001250120120/spaghetti-n-12-de-cecco
Gran Cereale Frutta – Barilla, Mulino Bianco – 250 gr.;1943;1.8;18.0;2.96;8.8;8.4;7.37;9.0;c;b;64.0;Non;3;https://world.openfoodfacts.org/product/8076809514064/gran-cereale-frutta-barilla
BARILLA TAGLIATELLE 500g – Barilla – 500 g;1521;0.5;3.5;0.04;13.0;3.0;0.0;0.0;a;b;60.0;Non;0;https://world.openfoodfacts.org/product/8076809523714/barilla-tagliatelle-500g
Crousti fondant choco-noisettes – Nestlé, Nat – 340 g;1896;2.4;17.5;0.8799999999999999;7.7;6.2;5.2;10.0;c;c;45.0;Non;2;https://world.openfoodfacts.org/product/8445290114594/crousti-fondant-choco-noisettes-nestle
HERTA Trésor de Grand Mère pâte feuilletée pur beurre 280g – HERTA, Trésor de Grand Mère – 280 g;1625;14.0;1.6;4.0;7.2;1.0;0.5;18.0;d;c;48.0;Non;0;https://world.openfoodfacts.org/product/3154230812616/herta-tresor-de-grand-mere-pate-feuilletee-pur-beurre-280g
La Vicoise saveur sel de mer – Vico – 120g;2001;2.4;0.64;3.56;6.2;5.4;2.625;8.0;c;a;82.0;Non;0;https://world.openfoodfacts.org/product/3336971410027/chips-kettle-cooked-vico
NESTLE CHOCAPIC Céréales 645g – Nestlé, Chocapic – 645 g;1624;1.1;19.9;0.8;8.5;7.7;0.0;2.0;b;c;46.0;Non;1;https://world.openfoodfacts.org/product/7613035449626/chocapic-nestle
Avena – YOSOY – 1 l;198;0.1;4.8;0.12;1.6;0.7;0.0;4.0;c;b;63.0;Non;0;https://world.openfoodfacts.org/product/8423352100143/avena-yosoy
Biscuits Petit déj Bio Céréales Miel – Gerblé, Gerblé Bio – 132g;1950;1.8;16.0;1.48;7.4;6.7;0.0;7.0;c;b;70.0;Oui;2;https://world.openfoodfacts.org/product/3175681272934/biscuits-petit-dej-bio-cereales-miel-gerble
4 Pains burger géant à la farine  complète – Jacquet – 350 g;1139;0.6;4.8;4.4;9.4;5.8;8.25000000000002;3.0;c;a;82.0;Non;0;https://world.openfoodfacts.org/product/3029330072690/4-pains-burger-geant-a-la-farine-complete-jacquet
Croustillant graines de courge et de tournesol – Carrefour BIO, Carrefour – 375 g;1784;1.9;15.0;0.08;11.0;6.2;15.775;3.0;c;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3560071407773/croustillant-graines-de-courge-et-de-tournesol-carrefour-bio
Special Flakes Chocolate Noir – Crownfield – 425 g;1693;2.9;13.7;1.7999999999999998;8.5;8.4;0.0;7.0;c;d;31.0;Non;1;https://world.openfoodfacts.org/product/20621445/special-flakes-chocolat-noir-crownfield
Belvita petit déjeuner goût noisette et chocolat – Belvita, LU – 400 g;1902;1.8;26.0;3.6;7.6;4.3;2.5;15.0;d;d;44.0;Non;4;https://world.openfoodfacts.org/product/3017760803991/belvita-petit-dejeuner-gout-noisette-et-chocolat
Riz tomate à l’italienne – ben’s original – 220g;772;1.4;1.8;1.96;4.0;1.6;0.0;5.0;c;e;25.0;Non;0;https://world.openfoodfacts.org/product/3487400006745/riz-tomate-a-l-italienne-ben-s-original
Biscottes Forme+ – Heudebert, Lu, Mondelèz International – 280 g - 34 biscottes;1647;2.3;6.9;5.64;15.0;7.8;0.0;10.0;c;a;79.0;Non;1;https://world.openfoodfacts.org/product/3392460482012/biscottes-forme-heudebert
Pain de mie sandwich complet 550g – U – 550 g;1100;1.2;5.9;4.4;9.0;6.5;10.4431818181818;3.0;c;a;84.0;Non;3;https://world.openfoodfacts.org/product/3256222646985/pain-de-mie-sandwich-complet-550g-u
T&C Muesli croustillant avoine amandes sans gluten – Terres et Céréales BIO – 500 g;1879;1.8;18.0;0.16;9.0;6.9;4.1875;7.0;c;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3421557502446/t-c-muesli-croustillant-avoine-amandes-sans-gluten-terres-et-cereales-bio
Pain de mie longue conservation – Harrys – 250 g;1181;0.5;6.5;5.0;9.0;3.7;7.64772727272727;6.0;c;a;83.0;Non;1;https://world.openfoodfacts.org/product/3228850006035/pain-de-mie-longue-conservation-harrys
Semillas de lino molidas fuente de omega ecológicas – Linwoods – 425g;2173;4.9;1.6;0.8400000000000001;23.0;20.0;0.0;-9.0;a;e;29.0;Oui;0;https://world.openfoodfacts.org/product/5016887003503/cold-milled-flaxseed-linwoods
Quaker Cruesli Chocolat noisette – Cruesli,PepsiCo,QUAKER,Quarker – 450 g;1847;2.5;16.0;0.0;7.4;10.0;2.3203125;6.0;c;c;59.0;Oui;3;https://world.openfoodfacts.org/product/3168930009788/quaker-cruesli-chocolat-noisette
Pain grillé au ble complet bio – Carrefour BIO, Carrefour – 250 g;1585;0.5;4.0;5.6000000000000005;12.0;7.5;0.0;6.0;c;a;100.0;Oui;1;https://world.openfoodfacts.org/product/3560070710713/pan-tostado-integral-carrefour-bio
Boisson avoine – Bio Village, Marque Repère – 1 l;173;0.2;5.0;0.39;0.5;0.8;0.0;6.0;c;a;83.0;Oui;0;https://world.openfoodfacts.org/product/3564707105675/boisson-avoine-bio-village
Muesli CroustillantNoix – Auchan – 0.45 kg;1902;1.9;18.0;0.12;9.7;5.9;18.625;8.0;c;b;67.0;Non;0;https://world.openfoodfacts.org/product/3596710446605/muesli-croustillantnoix-auchan
Céréales Frosties – Kellogg's – 620 g;1594;0.1;37.0;3.3200000000000003;4.5;2.0;0.0;18.0;d;e;29.0;Non;0;https://world.openfoodfacts.org/product/5053827111027/frosties-kellogg-s
Hogaza Masa Madre y Cereales – The Rustik Bakery – 400 g;1033;0.6;2.9;4.0;11.0;8.2;0.35;-2.0;a;b;71.0;Non;0;https://world.openfoodfacts.org/product/8412600028131/dark-bread-the-rustik-bakery
COCO pops – Kellogg's – 550 g;1636;0.9;17.0;2.6;6.3;3.8;0.0;10.0;c;e;29.0;Non;0;https://world.openfoodfacts.org/product/5059319030913/coco-pops-kellogg-s
Gnocchi 390g – Lustucru, Lustucru selection – 390 g;815;0.4;1.9;4.4;5.1;2.0;3.45;5.0;c;a;81.0;Non;0;https://world.openfoodfacts.org/product/3240931547213/gnocchi-390g-lustucru
Biscottes complètes sans sucres ajoutés x36 – Chabrior – 300 g;1578;0.6;3.4;6.0;16.0;11.0;10.7142857142857;6.0;c;a;89.0;Non;1;https://world.openfoodfacts.org/product/3250391124800/biscottes-completes-sans-sucre-ajoute-chabrior
BelVita - Petit déjeuner Tartiné – LU – 250g;1930;3.01;25.9;1.93;7.23;4.82;6.75515625;15.0;d;c;54.0;Non;6;https://world.openfoodfacts.org/product/7622300788094/belvita-petit-dejeuner-tartine-lu
Gullon Cuordi Cereale Tradizionale, Alto Contenuto Di Fibra – Gullon – 280g;1902;1.7;16.0;3.0;7.9;12.0;0.0;8.0;c;c;50.0;Non;1;https://world.openfoodfacts.org/product/8410376039986/gullon-cuordi-cereale-tradizionale-alto-contenuto-di-fibra
HERTA TARTE EN OR Pâte Feuilletée sans huile de palme 230g – HERTA – 230 g;1641;12.0;1.7;3.56;5.9;1.5;0.445;18.0;d;d;43.0;Non;0;https://world.openfoodfacts.org/product/3154230805984/pate-feuilletee-herta
Pain de seigle complet Epeautre et épeautre vert – Maître Jean Pierre – 500 g;843;0.5;3.2;4.8;5.3;9.7;0.0;0.0;a;a;102.0;Oui;0;https://world.openfoodfacts.org/product/20507350/pain-de-seigle-complet-epeautre-et-epeautre-vert-maitre-jean-pierre
Pain Extra Moelleux Nature Sans Sucres Ajoutés – Harrys – 280 g;1184;0.5;7.0;4.4;8.0;3.5;7.64375000000001;6.0;c;a;81.0;Non;0;https://world.openfoodfacts.org/product/3228857000876/pain-extra-moelleux-nature-sans-sucres-ajoutes-harrys
Petits pains grilles – Carrefour – 225 g;1717;0.9;4.2;4.0;10.0;6.9;4.66666666666667;2.0;b;a;86.0;Non;1;https://world.openfoodfacts.org/product/3270190007425/toasted-bread-rolls-carrefour
Muesli crisp 4 noix – Chabrior – 500 g;2002;2.3;20.6;0.04;10.6;9.5;16.0;8.0;c;b;68.0;Non;0;https://world.openfoodfacts.org/product/3250390784807/muesli-crisp-4-noix-chabrior
Céréales Special K Kellogg's Nature – Kellogg's – 750 g;1588;0.3;15.0;4.0;9.0;4.5;0.0;10.0;c;e;29.0;Non;0;https://world.openfoodfacts.org/product/5050083739811/cereales-special-k-kellogg-s-nature
Pan de molde 12 cereales y semillas – Hacendado – 680 g;1106;1.0;3.4;4.699999999999999;11.0;6.3;0.0;1.0;b;b;71.0;Non;5;https://world.openfoodfacts.org/product/8480000835475/pan-de-molde-12-cereales-y-semillas-hacendado
Pain de mie american sandwich 7 céréales sans sucres ajoutés 550g – Harry's – 550 g;1168;0.6;4.0;4.0;9.0;7.6;8.6875;0.0;a;a;75.0;Non;0;https://world.openfoodfacts.org/product/3228857002221/american-sandwich-harry-s
Muesli aux fruits – Terres & Céréales Bio – 1 kg;1490;1.2;15.0;0.04;9.7;11.0;26.5;0.0;a;a;96.0;Oui;0;https://world.openfoodfacts.org/product/3421557501630/muesli-aux-fruits-terres-cereales-bio
Corn flakes – Carrefour – 500 g;1625;0.2;7.2;3.2;6.9;2.5;0.0;7.0;c;e;29.0;Non;0;https://world.openfoodfacts.org/product/3560071016074/corn-flakes-carrefour
Pain de mie Bio petites tranches complet & levain sans sucres ajoutés 280g – La Boulangère Bio, La boulangere – 280 g;1101;0.4;4.1;4.4;10.0;5.9;0.0;2.0;b;a;95.0;Oui;1;https://world.openfoodfacts.org/product/3760049797909/pain-de-mie-bio-petites-tranches-complet-levain-sans-sucres-ajoutes-280g-la-boulangere-bio
Cereales Rellenos De Leche – Hacendado – 500 g;1878;6.5;37.0;3.12;10.0;3.3;2.9375;23.0;e;e;15.0;Non;2;https://world.openfoodfacts.org/product/8480000092649/cereales-choco-hacendado
Pan de Molde Semillas & Pipas – HACENDADO – 580 g;1231;1.5;5.3;4.4;11.0;5.7;3.5;3.0;c;a;75.0;Non;6;https://world.openfoodfacts.org/product/8480000838698/pan-integral-hacendado
Müesli Croustillant Fraise – GOLDEN BRIDGE – 500g;1878;1.7;21.0;0.04;9.8;7.1;0.6875;8.0;c;a;82.0;Oui;2;https://world.openfoodfacts.org/product/2006050036158/muesli-croustillant-fraise-golden-bridge
Farine de blé complète - T150 – Francine – 1 kg;1426;0.2;2.0;0.0;10.7;9.5;0.0;-5.0;a;a;100.0;Non;0;https://world.openfoodfacts.org/product/3068111301246/farine-de-ble-complete-t150-francine
Chips Craquante Sel Brets – Bret's – 125 g ℮;2251;2.7;0.5;2.4;6.1;4.9;0.0;6.0;c;a;82.0;Non;0;https://world.openfoodfacts.org/product/3497911119124/chips-craquante-sel-brets-bret-s
Muesli Crunchy Chocolate – Hacendado – 500 g;1820;4.5;24.0;1.7199999999999998;8.4;6.0;0.0;14.0;d;b;67.0;Non;2;https://world.openfoodfacts.org/product/8480000093554/muesli-crunchy-chocolate-hacendado
Petits flocons d'avoine complète – Carrefour BIO, Carrefour – 500 g;1583;1.3;1.0;0.04;11.0;10.0;0.0;-4.0;a;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3560071270285/petits-flocons-d-avoine-complete-carrefour-bio
Biscottes blé complet Sans sucres* et sans sel ajoutés – Carrefour BIO – 300 g;1620;0.4;3.0;0.08;14.0;9.9;0.0;-6.0;a;a;102.0;Oui;1;https://world.openfoodfacts.org/product/3560071433277/biscottes-ble-complet-sans-sucres-et-sans-sel-ajoutes-carrefour-bio
Matin Chocolat – Gerblé – 200 g;1825;2.4;15.0;0.68;10.0;8.3;12.375;6.0;c;b;65.0;Non;4;https://world.openfoodfacts.org/product/3175681297104/matin-chocolat-gerble
Ramen soja caramel – Tanoshi – 360 g;692;0.1;2.5;6.0;5.3;1.7;0.2175;2.0;b;b;67.0;Non;4;https://world.openfoodfacts.org/product/3229820181363/ramen-soja-caramel-tanoshi
Pain de mie Grand Mie complet – Chabrior – 550 g;1059;0.6;6.7;4.4;9.1;6.8;1.93333333333333;2.0;b;a;77.0;Non;1;https://world.openfoodfacts.org/product/3250390272007/grand-mie-complet-chabrior
Petits pains grillés au blé complet – Chabrior, Intermarché – 400 g;1599;0.6;3.2;6.0;12.0;8.3;9.49285714285714;6.0;c;a;86.0;Non;0;https://world.openfoodfacts.org/product/3250390819455/petits-pains-grilles-au-ble-complet-chabrior
FITNESS CHOC Barres Céréale 6x23.5g – Fitness,Nestlé – 141 g (6 x 23,5 g);1609;2.9;17.0;1.32;7.7;7.7;0.0;6.0;c;c;55.0;Non;7;https://world.openfoodfacts.org/product/3387390320008/fitness-choc-barres-cereale-6x23-5g
REGAÑA – Hacendado – 250 gramos;1885;2.3;2.6;7.199999999999999;11.8;3.7;10.0;14.0;d;b;72.0;Non;0;https://world.openfoodfacts.org/product/8480000823656/regana-hacendado
Pan de molde espelta 100% integral natural – Hacendado – 275 gr;1010;0.8;3.7;4.4;12.0;7.4;0.0;1.0;b;a;75.0;Non;0;https://world.openfoodfacts.org/product/8480000826466/pan-de-molde-espelta-100-integral-natural-hacendado
Boisson à l'avoine – Vemondo – 1l;154;0.2;3.3;0.32;0.4;1.0;0.0;5.0;c;a;77.0;Oui;0;https://world.openfoodfacts.org/product/4056489989356/boisson-a-l-039-avoine-vemondo
Vollkornbrot – Jacquet – 500 g;871;0.3;4.9;4.0;6.8;10.0;0.0;0.0;a;a;81.0;Non;0;https://world.openfoodfacts.org/product/3029330004233/vollkornbrot-jacquet
Muesli avoine amandes chocolat – TERRES ET CÉRÉALES – 500 g;1914;4.0;22.0;0.2;8.7;6.8;4.1;10.0;c;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3421557110221/muesli-avoine-amandes-chocolat-terres-et-cereales
Petits pains grilles – Carrefour – 400 g;1717;0.9;4.2;4.0;10.0;6.9;4.66666666666667;2.0;b;a;86.0;Non;1;https://world.openfoodfacts.org/product/3560070737048/toasted-bread-rolls-carrefour
Country Crisp chocolat au lait – Jordans – 550 g;1890;4.22;24.4;0.178;8.89;5.11;0.0;14.0;d;b;66.0;Non;1;https://world.openfoodfacts.org/product/5010477348432/country-crisp-jordans
Country Crisp Fruits & Noix – Jordans – 500 g;1859;1.9;22.0;0.2;9.6;6.1;16.125;9.0;c;b;66.0;Non;0;https://world.openfoodfacts.org/product/5010477350954/country-crisp-fruits-noix-jordans
